Benchmarks,Miss
600.perlbench_s-570B,4313
602.gcc_s-1850B,889155
602.gcc_s-2226B,3501517
602.gcc_s-734B,406012
603.bwaves_s-1740B,925762
603.bwaves_s-2609B,925765
603.bwaves_s-2931B,434926
603.bwaves_s-891B,1159497
605.mcf_s-1152B,1935469
605.mcf_s-1536B,1401714
605.mcf_s-1554B,7537870
605.mcf_s-1644B,2029610
605.mcf_s-472B,2652301
605.mcf_s-484B,1084593
605.mcf_s-665B,1235101
605.mcf_s-782B,6757276
605.mcf_s-994B,1119348
607.cactuBSSN_s-2421B,297146
607.cactuBSSN_s-3477B,243078
607.cactuBSSN_s-4004B,243202
619.lbm_s-2676B,507928
619.lbm_s-2677B,590384
619.lbm_s-3766B,269967
619.lbm_s-4268B,590530
620.omnetpp_s-141B,611681
620.omnetpp_s-874B,557430
621.wrf_s-6673B,847715
621.wrf_s-8065B,360045
623.xalancbmk_s-10B,1274317
623.xalancbmk_s-165B,950667
623.xalancbmk_s-202B,1225348
628.pop2_s-17B,346574
641.leela_s-1083B,3627
649.fotonik3d_s-10881B,962013
649.fotonik3d_s-1176B,438647
649.fotonik3d_s-7084B,818673
649.fotonik3d_s-8225B,445961
654.roms_s-1007B,297182
654.roms_s-1070B,744071
654.roms_s-1390B,1125274
654.roms_s-1613B,133160
654.roms_s-293B,261563
654.roms_s-294B,636924
654.roms_s-523B,943357
657.xz_s-2302B,160889
