Benchmarks,IPC
600.perlbench_s-570B,0.633017
602.gcc_s-1850B,0.201394
602.gcc_s-2226B,0.0973216
602.gcc_s-734B,0.311547
603.bwaves_s-1740B,0.52834
603.bwaves_s-2609B,0.529554
603.bwaves_s-2931B,0.737286
603.bwaves_s-891B,0.378986
605.mcf_s-1152B,0.220206
605.mcf_s-1536B,0.245417
605.mcf_s-1554B,0.117412
605.mcf_s-1644B,0.104162
605.mcf_s-472B,0.196854
605.mcf_s-484B,0.267233
605.mcf_s-665B,0.236168
605.mcf_s-782B,0.133509
605.mcf_s-994B,0.199823
607.cactuBSSN_s-2421B,0.81971
607.cactuBSSN_s-3477B,0.828881
607.cactuBSSN_s-4004B,0.847702
619.lbm_s-2676B,0.266184
619.lbm_s-2677B,0.230115
619.lbm_s-3766B,0.490364
619.lbm_s-4268B,0.229479
620.omnetpp_s-141B,0.200178
620.omnetpp_s-874B,0.213656
621.wrf_s-6673B,0.43504
621.wrf_s-8065B,0.780906
623.xalancbmk_s-10B,0.226528
623.xalancbmk_s-165B,0.38809
623.xalancbmk_s-202B,0.309717
628.pop2_s-17B,0.729351
641.leela_s-1083B,0.332012
649.fotonik3d_s-10881B,0.448868
649.fotonik3d_s-1176B,0.58428
649.fotonik3d_s-7084B,0.539401
649.fotonik3d_s-8225B,0.581945
654.roms_s-1007B,0.421437
654.roms_s-1070B,0.426367
654.roms_s-1390B,0.289175
654.roms_s-1613B,0.480966
654.roms_s-293B,0.8473
654.roms_s-294B,0.722428
654.roms_s-523B,0.384535
657.xz_s-2302B,0.508649
