benchmarks,IPC
client_001,0.625641
client_002,0.661112
client_003,0.656567
client_004,0.526649
client_005,0.602568
client_006,0.582494
client_007,0.607588
client_008,0.493629
server_001,0.60131
server_003,0.460654
server_004,0.406762
server_009,0.453788
server_010,0.480537
server_011,0.465646
server_012,0.487184
server_013,0.469786
server_014,0.610494
server_016,0.535906
server_017,0.423127
server_018,0.405247
server_019,0.430663
server_020,0.42895
server_021,0.441713
server_022,0.443836
server_023,0.425371
server_024,0.421458
server_025,0.395383
server_026,0.398276
server_027,0.398194
server_028,0.397862
server_029,0.391919
server_030,0.39126
server_031,0.394203
server_032,0.404429
server_033,0.491135
server_034,0.493643
server_035,0.469016
server_037,0.559641
server_038,0.557154
