benchmark,early,late,useless,filled,issued,requested
600.perlbench_s-570B,1275,72,2551,3866,164018,164018
602.gcc_s-1850B,1071322,7078,223245,1294572,7210790,7210811
602.gcc_s-2226B,3367993,48517,308224,3676245,9941878,9941958
602.gcc_s-734B,767754,276,120452,888253,2463651,2463728
603.bwaves_s-1740B,925085,2048,4267,929339,34730205,49417451
603.bwaves_s-2609B,924990,2128,4070,929065,34825742,49488652
603.bwaves_s-2931B,498613,1,2480,501091,5034348,5094679
603.bwaves_s-891B,1135949,4355,24,1135956,2376532,2376532
605.mcf_s-1152B,654960,130327,1811312,2466253,8812095,8812267
605.mcf_s-1536B,95594,9658,2401639,2497205,6228982,6228982
605.mcf_s-1554B,3745305,1760440,4421170,8166468,37924868,43946143
605.mcf_s-1644B,1098869,79897,1098710,2197589,5283557,5283557
605.mcf_s-472B,721315,660433,1405304,2126620,13461565,13466545
605.mcf_s-484B,343832,201046,698804,1042505,12466473,12466594
605.mcf_s-665B,503097,68884,1382641,1885699,7528642,7528642
605.mcf_s-782B,1628243,710672,4862957,6491202,16686945,16686990
605.mcf_s-994B,238267,174006,1350643,1588980,7483854,7483854
607.cactuBSSN_s-2421B,2997,4,23261,26310,58778,58778
607.cactuBSSN_s-3477B,1856,0,4892,6751,13762,13762
607.cactuBSSN_s-4004B,2090,1,3769,5858,11728,11728
619.lbm_s-2676B,333653,38109,0,333648,1041875,1061216
619.lbm_s-2677B,362830,48385,0,362833,1206136,1232881
619.lbm_s-3766B,249548,9589,0,249542,561454,561786
619.lbm_s-4268B,362784,47878,0,362788,1204354,1232344
620.omnetpp_s-141B,108797,11247,671928,780692,4362225,4362225
620.omnetpp_s-874B,112026,12957,682128,794213,4500621,4500628
621.wrf_s-6673B,962037,31315,130412,1092448,13877077,15953049
621.wrf_s-8065B,482437,3412,142369,624830,5908632,6506031
623.xalancbmk_s-10B,192099,72496,887888,1080131,3647746,3647757
623.xalancbmk_s-165B,896309,20400,92623,988942,3587610,3590194
623.xalancbmk_s-202B,1186472,24430,108145,1294615,3681248,3683853
628.pop2_s-17B,683671,4368,217257,900923,10108112,10661568
641.leela_s-1083B,56494,2166,38632,95042,2065162,2065162
649.fotonik3d_s-10881B,681704,17889,467384,1149074,5341606,5343733
649.fotonik3d_s-1176B,639765,4047,3118,642881,1319800,1319800
649.fotonik3d_s-7084B,804232,259,57534,861736,12897495,13187651
649.fotonik3d_s-8225B,639771,4076,2991,642762,1319908,1319908
654.roms_s-1007B,281386,5762,17373,298761,4228134,4233996
654.roms_s-1070B,699645,17275,34750,734390,5032238,5243668
654.roms_s-1390B,1123953,56106,69787,1193747,6620396,7790447
654.roms_s-1613B,122085,5535,9009,131076,2572900,2573437
654.roms_s-293B,369447,404,13193,382657,2953812,2970840
654.roms_s-294B,599053,321,55381,654443,9094414,9844759
654.roms_s-523B,899495,16224,56766,956258,5285270,5362899
657.xz_s-2302B,45293,797,333863,379151,2563475,2563475
